chrom	length	bases	mean	min	max
chr1	248956422	127501	0.00	0	728
chr1_region	248956422	127501	0.00	0	728
chr2	242193529	47022	0.00	0	536
chr2_region	242193529	47022	0.00	0	536
chr3	198295559	34198	0.00	0	594
chr3_region	198295559	34198	0.00	0	594
chr4	190214555	15450	0.00	0	162
chr4_region	190214555	15450	0.00	0	162
chr5	181538259	51206	0.00	0	774
chr5_region	181538259	51206	0.00	0	774
chr6	170805979	80036	0.00	0	462
chr6_region	170805979	80036	0.00	0	462
chr7	159345973	24799	0.00	0	482
chr7_region	159345973	24799	0.00	0	482
chr8	145138636	36044	0.00	0	236
chr8_region	145138636	36044	0.00	0	236
chr9	138394717	33199	0.00	0	400
chr9_region	138394717	33199	0.00	0	400
chr10	133797422	48232	0.00	0	1264
chr10_region	133797422	48232	0.00	0	1264
chr11	135086622	21536	0.00	0	184
chr11_region	135086622	21536	0.00	0	184
chr12	133275309	32412	0.00	0	326
chr12_region	133275309	32412	0.00	0	326
chr13	114364328	17981	0.00	0	176
chr13_region	114364328	17981	0.00	0	176
chr14	107043718	89615	0.00	0	159
chr14_region	107043718	89615	0.00	0	159
chr15	101991189	19517	0.00	0	776
chr15_region	101991189	19517	0.00	0	776
chr16	90338345	10029	0.00	0	306
chr16_region	90338345	10029	0.00	0	306
chr17	83257441	12081	0.00	0	168
chr17_region	83257441	12081	0.00	0	168
chr18	80373285	19631	0.00	0	358
chr18_region	80373285	19631	0.00	0	358
chr19	58617616	7065	0.00	0	72
chr19_region	58617616	7065	0.00	0	72
chr20	64444167	8396	0.00	0	202
chr20_region	64444167	8396	0.00	0	202
chr21	46709983	13506	0.00	0	398
chr21_region	46709983	13506	0.00	0	398
chr22	50818468	14188695	0.28	0	276
chr22_region	50818468	14188695	0.28	0	276
chrX	156040895	81027	0.00	0	706
chrX_region	156040895	81027	0.00	0	706
chrY	57227415	2479	0.00	0	48
chrY_region	57227415	2479	0.00	0	48
chrM	16569	38	0.00	0	2
chrM_region	16569	38	0.00	0	2
chr9_KI270717v1_random	40062	200	0.00	0	2
chr9_KI270717v1_random_region	40062	200	0.00	0	2
chr16_KI270728v1_random	1872759	640	0.00	0	3
chr16_KI270728v1_random_region	1872759	640	0.00	0	3
chr22_KI270731v1_random	150754	2161	0.01	0	2
chr22_KI270731v1_random_region	150754	2161	0.01	0	2
chr22_KI270734v1_random	165050	36007	0.22	0	17
chr22_KI270734v1_random_region	165050	36007	0.22	0	17
chrUn_KI270745v1	41891	400	0.01	0	2
chrUn_KI270745v1_region	41891	400	0.01	0	2
chrUn_KI270755v1	36723	3994	0.11	0	210
chrUn_KI270755v1_region	36723	3994	0.11	0	210
chr22_KI270879v1_alt	304135	9103	0.03	0	10
chr22_KI270879v1_alt_region	304135	9103	0.03	0	10
chr22_KI270876v1_alt	263666	200	0.00	0	2
chr22_KI270876v1_alt_region	263666	200	0.00	0	2
chr22_GL383582v2_alt	162811	1000	0.01	0	2
chr22_GL383582v2_alt_region	162811	1000	0.01	0	2
chr22_KB663609v1_alt	74013	1300	0.02	0	2
chr22_KB663609v1_alt_region	74013	1300	0.02	0	2
chr22_KI270928v1_alt	176103	1700	0.01	0	2
chr22_KI270928v1_alt_region	176103	1700	0.01	0	2
chr6_GL000254v2_alt	4827813	2202	0.00	0	19
chr6_GL000254v2_alt_region	4827813	2202	0.00	0	19
chr6_GL000255v2_alt	4606388	1697	0.00	0	11
chr6_GL000255v2_alt_region	4606388	1697	0.00	0	11
chr6_GL000256v2_alt	4929269	2201	0.00	0	17
chr6_GL000256v2_alt_region	4929269	2201	0.00	0	17
total	3105937838	15084500	0.00	0	1264
total_region	3105937838	15084500	0.00	0	1264
