chrom	length	bases	mean	min	max
chr1	248956422	114034	0.00	0	688
chr1_region	248956422	114034	0.00	0	688
chr2	242193529	42036	0.00	0	486
chr2_region	242193529	42036	0.00	0	486
chr3	198295559	32044	0.00	0	564
chr3_region	198295559	32044	0.00	0	564
chr4	190214555	11847	0.00	0	168
chr4_region	190214555	11847	0.00	0	168
chr5	181538259	45669	0.00	0	676
chr5_region	181538259	45669	0.00	0	676
chr6	170805979	67200	0.00	0	390
chr6_region	170805979	67200	0.00	0	390
chr7	159345973	22207	0.00	0	368
chr7_region	159345973	22207	0.00	0	368
chr8	145138636	29324	0.00	0	176
chr8_region	145138636	29324	0.00	0	176
chr9	138394717	30903	0.00	0	366
chr9_region	138394717	30903	0.00	0	366
chr10	133797422	42434	0.00	0	1094
chr10_region	133797422	42434	0.00	0	1094
chr11	135086622	22541	0.00	0	208
chr11_region	135086622	22541	0.00	0	208
chr12	133275309	31355	0.00	0	318
chr12_region	133275309	31355	0.00	0	318
chr13	114364328	15704	0.00	0	184
chr13_region	114364328	15704	0.00	0	184
chr14	107043718	79355	0.00	0	154
chr14_region	107043718	79355	0.00	0	154
chr15	101991189	16354	0.00	0	698
chr15_region	101991189	16354	0.00	0	698
chr16	90338345	7583	0.00	0	200
chr16_region	90338345	7583	0.00	0	200
chr17	83257441	11004	0.00	0	144
chr17_region	83257441	11004	0.00	0	144
chr18	80373285	16221	0.00	0	292
chr18_region	80373285	16221	0.00	0	292
chr19	58617616	5107	0.00	0	78
chr19_region	58617616	5107	0.00	0	78
chr20	64444167	7766	0.00	0	206
chr20_region	64444167	7766	0.00	0	206
chr21	46709983	11092	0.00	0	340
chr21_region	46709983	11092	0.00	0	340
chr22	50818468	12819246	0.25	0	226
chr22_region	50818468	12819246	0.25	0	226
chrX	156040895	77378	0.00	0	660
chrX_region	156040895	77378	0.00	0	660
chrY	57227415	2343	0.00	0	36
chrY_region	57227415	2343	0.00	0	36
chr9_KI270720v1_random	39050	41	0.00	0	2
chr9_KI270720v1_random_region	39050	41	0.00	0	2
chr16_KI270728v1_random	1872759	330	0.00	0	2
chr16_KI270728v1_random_region	1872759	330	0.00	0	2
chr22_KI270731v1_random	150754	1331	0.01	0	3
chr22_KI270731v1_random_region	150754	1331	0.01	0	3
chr22_KI270734v1_random	165050	35273	0.21	0	18
chr22_KI270734v1_random_region	165050	35273	0.21	0	18
chrUn_KI270745v1	41891	400	0.01	0	2
chrUn_KI270745v1_region	41891	400	0.01	0	2
chrUn_KI270755v1	36723	3163	0.09	0	166
chrUn_KI270755v1_region	36723	3163	0.09	0	166
chr22_KI270879v1_alt	304135	7704	0.03	0	11
chr22_KI270879v1_alt_region	304135	7704	0.03	0	11
chr22_KI270876v1_alt	263666	100	0.00	0	1
chr22_KI270876v1_alt_region	263666	100	0.00	0	1
chr22_GL383582v2_alt	162811	300	0.00	0	2
chr22_GL383582v2_alt_region	162811	300	0.00	0	2
chr6_GL000251v2_alt	4795265	100	0.00	0	1
chr6_GL000251v2_alt_region	4795265	100	0.00	0	1
chr22_KB663609v1_alt	74013	1300	0.02	0	2
chr22_KB663609v1_alt_region	74013	1300	0.02	0	2
chr22_KI270928v1_alt	176103	1000	0.01	0	3
chr22_KI270928v1_alt_region	176103	1000	0.01	0	3
chr6_GL000254v2_alt	4827813	2900	0.00	0	18
chr6_GL000254v2_alt_region	4827813	2900	0.00	0	18
chr6_GL000255v2_alt	4606388	1799	0.00	0	14
chr6_GL000255v2_alt_region	4606388	1799	0.00	0	14
chr6_GL000256v2_alt	4929269	1901	0.00	0	16
chr6_GL000256v2_alt_region	4929269	1901	0.00	0	16
total	3110715522	13618389	0.00	0	1094
total_region	3110715522	13618389	0.00	0	1094
