## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT HBRRep2.sorted.bam --OUTPUT HBRRep2.markdup.sorted.bam --METRICS_FILE HBRRep2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE chr22_with_ERCC92.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Oct 17 11:55:46 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	3	144180	2882	0	1	23101	2	0.160225	400495

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000011	109727	0	109729
2.0	1.697692	7225	2	7223
3.0	2.184446	1883	0	1883
4.0	2.524041	890	0	890
5.0	2.760967	455	0	455
6.0	2.926264	236	0	236
7.0	3.041587	175	0	175
8.0	3.122045	126	0	126
9.0	3.178179	93	0	93
10.0	3.217341	53	0	53
11.0	3.244664	36	0	36
12.0	3.263727	43	0	43
13.0	3.277026	19	0	19
14.0	3.286304	23	0	23
15.0	3.292778	13	0	13
16.0	3.297294	16	0	16
17.0	3.300445	7	0	7
18.0	3.302643	9	0	9
19.0	3.304177	5	0	5
20.0	3.305247	10	0	10
21.0	3.305994	9	0	9
22.0	3.306515	2	0	2
23.0	3.306878	5	0	5
24.0	3.307131	4	0	4
25.0	3.307308	4	0	4
26.0	3.307432	3	0	3
27.0	3.307518	1	0	1
28.0	3.307578	2	0	2
29.0	3.30762	0	0	0
30.0	3.307649	0	0	0
31.0	3.307669	0	0	0
32.0	3.307684	2	0	2
33.0	3.307694	0	0	0
34.0	3.3077	0	0	0
35.0	3.307705	1	0	1
36.0	3.307709	0	0	0
37.0	3.307711	0	0	0
38.0	3.307713	0	0	0
39.0	3.307714	0	0	0
40.0	3.307715	0	0	0
41.0	3.307715	0	0	0
42.0	3.307716	0	0	0
43.0	3.307716	0	0	0
44.0	3.307716	0	0	0
45.0	3.307716	0	0	0
46.0	3.307716	0	0	0
47.0	3.307716	0	0	0
48.0	3.307716	0	0	0
49.0	3.307716	0	0	0
50.0	3.307716	0	0	0
51.0	3.307716	0	0	0
52.0	3.307716	0	0	0
53.0	3.307716	0	0	0
54.0	3.307716	0	0	0
55.0	3.307716	0	0	0
56.0	3.307716	0	0	0
57.0	3.307716	0	0	0
58.0	3.307716	0	0	0
59.0	3.307716	0	0	0
60.0	3.307716	0	0	0
61.0	3.307716	0	0	0
62.0	3.307716	0	0	0
63.0	3.307716	0	0	0
64.0	3.307716	0	0	0
65.0	3.307716	0	0	0
66.0	3.307716	0	0	0
67.0	3.307716	0	0	0
68.0	3.307716	0	0	0
69.0	3.307716	0	0	0
70.0	3.307716	0	0	0
71.0	3.307716	0	0	0
72.0	3.307716	0	0	0
73.0	3.307716	0	0	0
74.0	3.307716	0	0	0
75.0	3.307716	0	0	0
76.0	3.307716	0	0	0
77.0	3.307716	0	0	0
78.0	3.307716	0	0	0
79.0	3.307716	0	0	0
80.0	3.307716	0	0	0
81.0	3.307716	0	0	0
82.0	3.307716	0	0	0
83.0	3.307716	1	0	1
84.0	3.307716	0	0	0
85.0	3.307716	0	0	0
86.0	3.307716	0	0	0
87.0	3.307716	0	0	0
88.0	3.307716	0	0	0
89.0	3.307716	0	0	0
90.0	3.307716	0	0	0
91.0	3.307716	0	0	0
92.0	3.307716	0	0	0
93.0	3.307716	0	0	0
94.0	3.307716	0	0	0
95.0	3.307716	0	0	0
96.0	3.307716	0	0	0
97.0	3.307716	0	0	0
98.0	3.307716	0	0	0
99.0	3.307716	0	0	0
100.0	3.307716	0	0	0
108.0	0	1	0	1

