gene_id	gene_name	HBRRep1	HBRRep2	HBRRep3	UHRRep1	UHRRep2	UHRRep3
ENSG00000008735	MAPK8IP2	403.910163935775	532.150247028057	476.641993217517	13.7171195571374	16.7675492347761	7.29881081568422
ENSG00000015475	BID	23.7507759717395	46.7186543897221	47.1725615017304	134.434258432197	75.7248914750998	119.221122530139
ENSG00000025708	TYMP	11.8313763498483	10.9502673451342	18.324952468993	43.4561331609648	15.9464421063307	26.4235653877567
ENSG00000025770	NCAPH2	72.7466875360735	77.340862968459	69.3611843954771	191.873417874267	111.118284670308	175.753867338692
ENSG00000040608	RTN4R	71.0318150116662	92.9593897755896	84.575587731217	17.9774504531983	6.75150852350742	11.5116329634778
ENSG00000054611	TBC1D22A	38.5490034803722	47.7809446832369	31.6298366883364	74.3726133049245	44.8785241476313	68.6488336685235
ENSG00000056487	PHF21B	23.2748568741535	6.23238940232958	2.80666577165232	19.4508728984565	6.96057667808959	10.44409759046
ENSG00000063515	GSC2	0	0	0	0	0	0
ENSG00000069998	CECR5	24.3726210506099	36.0200593424604	39.553387878051	121.99687898256	71.6502400031742	137.891690011746
ENSG00000070010	UFD1L	28.4737830455709	69.6366696574501	53.1087806599479	271.560284285596	190.012810054536	198.636094666063
ENSG00000070371	CLTCL1	22.3388033470504	28.7643220871004	38.7269144062434	87.4642255632789	53.8944093616776	55.5804429321743
ENSG00000070413	DGCR2	279.826884295132	322.402172735925	311.683677005206	282.04478500126	195.623184181444	243.256547652856
ENSG00000073146	MOV10L1	2.2961313933842	3.37037331676819	2.47395001678648	0	4.23169968846315	0
ENSG00000073150	PANX2	48.2127709506737	65.4447324467152	67.8691751899757	6.46559787409358	7.20789475041048	5.65394646370962
ENSG00000073169	SELO	50.8623972985189	57.1744997509635	27.6562642551804	57.6463666954756	26.1643237464614	63.2688267814127
ENSG00000075218	GTSE1	1.61916634994028	4.93501050603282	0.808220524009098	124.365821969514	83.3261707875374	110.354762351069
ENSG00000075234	TTC38	22.4109043368698	22.7778947125632	13.7701275677217	68.8524988249154	66.0166658344844	82.9125825672939
ENSG00000075240	GRAMD4	65.5938583333152	94.6479666201472	79.12961713702	149.75845988636	127.266010691276	115.298610289674
ENSG00000075275	CELSR1	0	11.0191691981203	0	142.650309247511	101.914300094856	131.311675725602
ENSG00000077935	SMC1B	0	0	0	2.94950249688868	3.96368359843812	3.97665403391731
ENSG00000077942	FBLN1	37.470797109756	51.905194580945	30.6430657472543	112.330540042867	82.4888989566493	116.487004038091
ENSG00000079974	RABL2B	69.4923076192658	48.5415632273382	39.9528247464965	71.0386540778291	48.8710661564458	36.1424774878657
ENSG00000093000	NUP50	121.746230136156	184.778875993505	127.637730685762	439.682201055611	258.231013551372	318.440733838842
ENSG00000093009	CDC45	0	0	0	194.676553576293	103.644786050536	164.030564525998
ENSG00000093010	COMT	84.1125772013186	94.2429841442499	67.0339604323695	181.008819552962	114.184767435261	188.676263410014
ENSG00000093072	CECR1	28.34243741171	24.2204317921989	31.3448495490628	41.5979340373689	21.4811763229348	21.0540250516821
