# id: 'biotype_counts'
# section_name: 'Biotype Counts'
# description: "shows reads overlapping genomic features of different biotypes,
#     counted by <a href='http://bioinf.wehi.edu.au/featureCounts'>featureCounts</a>."
# plot_type: 'bargraph'
# anchor: 'featurecounts_biotype'
# pconfig:
#     id: "featurecounts_biotype_plot"
#     title: "featureCounts: Biotypes"
#     xlab: "# Reads"
#     cpswitch_counts_label: "Number of Reads"
snRNA	2
unprocessed_pseudogene	15
protein_coding	149226
processed_pseudogene	101
rRNA	0
lincRNA	524
antisense	660
processed_transcript	278
sense_intronic	148
transcribed_unprocessed_pseudogene	425
transcribed_processed_pseudogene	9
IG_V_pseudogene	0
sense_overlapping	120
TEC	23
misc_RNA	373
miRNA	7
scaRNA	0
unitary_pseudogene	3
snoRNA	2
IG_V_gene	192
IG_J_gene	0
IG_C_gene	670
IG_C_pseudogene	3
polymorphic_pseudogene	7
