# id: 'biotype_counts'
# section_name: 'Biotype Counts'
# description: "shows reads overlapping genomic features of different biotypes,
#     counted by <a href='http://bioinf.wehi.edu.au/featureCounts'>featureCounts</a>."
# plot_type: 'bargraph'
# anchor: 'featurecounts_biotype'
# pconfig:
#     id: "featurecounts_biotype_plot"
#     title: "featureCounts: Biotypes"
#     xlab: "# Reads"
#     cpswitch_counts_label: "Number of Reads"
snRNA	2
unprocessed_pseudogene	4
protein_coding	93883
processed_pseudogene	64
rRNA	0
lincRNA	849
antisense	554
processed_transcript	113
sense_intronic	58
transcribed_unprocessed_pseudogene	388
transcribed_processed_pseudogene	0
IG_V_pseudogene	0
sense_overlapping	207
TEC	19
misc_RNA	284
miRNA	8
scaRNA	0
unitary_pseudogene	32
snoRNA	2
IG_V_gene	3
IG_J_gene	0
IG_C_gene	0
IG_C_pseudogene	0
polymorphic_pseudogene	3
