chrom	length	bases	mean	min	max
chr1	248956422	114372	0.00	0	552
chr1_region	248956422	114372	0.00	0	552
chr2	242193529	62777	0.00	0	538
chr2_region	242193529	62777	0.00	0	538
chr3	198295559	39597	0.00	0	632
chr3_region	198295559	39597	0.00	0	632
chr4	190214555	19227	0.00	0	172
chr4_region	190214555	19227	0.00	0	172
chr5	181538259	69004	0.00	0	760
chr5_region	181538259	69004	0.00	0	760
chr6	170805979	151226	0.00	0	442
chr6_region	170805979	151226	0.00	0	442
chr7	159345973	25494	0.00	0	338
chr7_region	159345973	25494	0.00	0	338
chr8	145138636	54967	0.00	0	688
chr8_region	145138636	54967	0.00	0	688
chr9	138394717	33503	0.00	0	420
chr9_region	138394717	33503	0.00	0	420
chr10	133797422	55028	0.00	0	1040
chr10_region	133797422	55028	0.00	0	1040
chr11	135086622	40786	0.00	0	276
chr11_region	135086622	40786	0.00	0	276
chr12	133275309	27525	0.00	0	352
chr12_region	133275309	27525	0.00	0	352
chr13	114364328	30979	0.00	0	238
chr13_region	114364328	30979	0.00	0	238
chr14	107043718	305991	0.00	0	424
chr14_region	107043718	305991	0.00	0	424
chr15	101991189	17430	0.00	0	582
chr15_region	101991189	17430	0.00	0	582
chr16	90338345	23372	0.00	0	772
chr16_region	90338345	23372	0.00	0	772
chr17	83257441	21979	0.00	0	522
chr17_region	83257441	21979	0.00	0	522
chr18	80373285	27566	0.00	0	250
chr18_region	80373285	27566	0.00	0	250
chr19	58617616	8854	0.00	0	76
chr19_region	58617616	8854	0.00	0	76
chr20	64444167	10066	0.00	0	236
chr20_region	64444167	10066	0.00	0	236
chr21	46709983	12323	0.00	0	270
chr21_region	46709983	12323	0.00	0	270
chr22	50818468	14975043	0.29	0	1216
chr22_region	50818468	14975043	0.29	0	1216
chrX	156040895	168856	0.00	0	482
chrX_region	156040895	168856	0.00	0	482
chrY	57227415	1475	0.00	0	22
chrY_region	57227415	1475	0.00	0	22
chr1_KI270712v1_random	176043	200	0.00	0	2
chr1_KI270712v1_random_region	176043	200	0.00	0	2
chr9_KI270717v1_random	40062	200	0.00	0	1
chr9_KI270717v1_random_region	40062	200	0.00	0	1
chr14_KI270725v1_random	172810	200	0.00	0	2
chr14_KI270725v1_random_region	172810	200	0.00	0	2
chr16_KI270728v1_random	1872759	540	0.00	0	2
chr16_KI270728v1_random_region	1872759	540	0.00	0	2
chr22_KI270731v1_random	150754	4387	0.03	0	3
chr22_KI270731v1_random_region	150754	4387	0.03	0	3
chr22_KI270734v1_random	165050	13909	0.08	0	5
chr22_KI270734v1_random_region	165050	13909	0.08	0	5
chr22_KI270737v1_random	103838	800	0.01	0	2
chr22_KI270737v1_random_region	103838	800	0.01	0	2
chrUn_KI270745v1	41891	600	0.01	0	2
chrUn_KI270745v1_region	41891	600	0.01	0	2
chrUn_KI270755v1	36723	2629	0.07	0	138
chrUn_KI270755v1_region	36723	2629	0.07	0	138
chr19_GL383576v1_alt	188024	100	0.00	0	1
chr19_GL383576v1_alt_region	188024	100	0.00	0	1
chr22_KI270875v1_alt	259914	700	0.00	0	1
chr22_KI270875v1_alt_region	259914	700	0.00	0	1
chr22_KI270878v1_alt	186262	200	0.00	0	1
chr22_KI270878v1_alt_region	186262	200	0.00	0	1
chr22_KI270879v1_alt	304135	12858	0.04	0	6
chr22_KI270879v1_alt_region	304135	12858	0.04	0	6
chr22_KI270876v1_alt	263666	500	0.00	0	2
chr22_KI270876v1_alt_region	263666	500	0.00	0	2
chr22_KI270877v1_alt	101331	500	0.00	0	3
chr22_KI270877v1_alt_region	101331	500	0.00	0	3
chr22_GL383582v2_alt	162811	500	0.00	0	2
chr22_GL383582v2_alt_region	162811	500	0.00	0	2
chr6_GL000251v2_alt	4795265	100	0.00	0	1
chr6_GL000251v2_alt_region	4795265	100	0.00	0	1
chr22_KB663609v1_alt	74013	400	0.01	0	2
chr22_KB663609v1_alt_region	74013	400	0.01	0	2
chr6_GL000252v2_alt	4604811	100	0.00	0	1
chr6_GL000252v2_alt_region	4604811	100	0.00	0	1
chr22_KI270928v1_alt	176103	400	0.00	0	1
chr22_KI270928v1_alt_region	176103	400	0.00	0	1
chr6_GL000254v2_alt	4827813	7694	0.00	0	48
chr6_GL000254v2_alt_region	4827813	7694	0.00	0	48
chr6_GL000255v2_alt	4606388	5298	0.00	0	42
chr6_GL000255v2_alt_region	4606388	5298	0.00	0	42
chr6_GL000256v2_alt	4929269	5401	0.00	0	47
chr6_GL000256v2_alt_region	4929269	5401	0.00	0	47
total	3116509567	16355656	0.01	0	1216
total_region	3116509567	16355656	0.01	0	1216
