task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	2b/78b61d	9852	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (HBRRep1)	CACHED	0	2024-10-17 13:52:56.085	15.5s	14s	243.3%	254.4 MB	4.3 GB	442.5 MB	388.7 MB
4	53/0a987f	942	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HBRRep1)	CACHED	0	2024-10-17 13:52:31.714	9s	6s	219.4%	708.5 MB	6.1 GB	25 MB	4.1 MB
9	cc/dad037	9966	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (UHRRep1)	CACHED	0	2024-10-17 13:52:56.382	19s	17s	277.7%	250.5 MB	4.3 GB	816.5 MB	742.5 MB
14	9b/8aa3b4	13600	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (UHRRep3)	CACHED	0	2024-10-17 13:53:04.442	7.4s	5s	248.8%	834.1 MB	6.1 GB	33.9 MB	4.2 MB
12	57/a9040b	6364	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (UHRRep3)	CACHED	0	2024-10-17 13:52:47.104	17.3s	16s	271.8%	305 MB	4.3 GB	673.8 MB	606.8 MB
7	1f/db9ae3	4166	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (HBRRep3)	CACHED	0	2024-10-17 13:52:40.530	15.6s	14s	251.9%	271.8 MB	4.3 GB	480.4 MB	424.8 MB
6	82/7979c3	16200	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HBRRep2)	CACHED	0	2024-10-17 13:53:11.881	8.4s	5s	240.5%	800.5 MB	6 GB	27.7 MB	4.1 MB
5	55/b8982c	917	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (HBRRep2)	CACHED	0	2024-10-17 13:52:31.702	17.7s	15s	234.3%	300.5 MB	4.3 GB	531.4 MB	473.5 MB
8	03/63afc6	4272	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HBRRep3)	CACHED	0	2024-10-17 13:52:40.734	6.4s	5s	283.4%	688.9 MB	6.1 GB	26.1 MB	4.1 MB
2	15/e64280	907	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (chr22_with_ERCC92.fa)	CACHED	0	2024-10-17 13:52:31.685	3.3s	1s	70.1%	4.9 MB	10.4 MB	49.5 MB	8.9 KB
13	c6/245d6d	7260	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (UHRRep2)	CACHED	0	2024-10-17 13:52:49.456	6.9s	5s	238.6%	799.8 MB	6.1 GB	32 MB	4.2 MB
10	82/51aafa	16003	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (UHRRep2)	CACHED	0	2024-10-17 13:53:11.569	17s	15s	256.5%	295.9 MB	4.3 GB	597.1 MB	533.1 MB
11	e7/e62757	977	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (UHRRep1)	CACHED	0	2024-10-17 13:52:31.730	8.8s	6s	248.4%	959.2 MB	6.1 GB	38.8 MB	4.1 MB
1	82/8f124a	992	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (chr22_with_ERCC92.fa)	CACHED	0	2024-10-17 13:52:31.738	3.3s	1s	83.3%	4.9 MB	13.4 MB	79.7 MB	29 MB
15	9f/acc15f	17508	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/chr22_with_ERCC92.fa)	CACHED	0	2024-10-17 13:53:15.339	5s	2s	96.1%	111.7 MB	152.1 MB	93.4 MB	37.9 MB
16	c4/b0f58a	2680	NFCORE_RNASEQ:PREPARE_GENOME:GTF2BED (chr22_with_ERCC92.filtered.gtf)	CACHED	0	2024-10-17 13:52:36.060	3.9s	2s	97.5%	69.5 MB	89.6 MB	29.2 MB	509.6 KB
17	a1/b4c032	19536	NFCORE_RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (chr22_with_ERCC92.fa)	CACHED	0	2024-10-17 13:53:20.296	32s	27s	296.5%	1.2 GB	1.7 GB	805 MB	1.1 GB
18	20/6628de	16242	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (HBRRep1)	CACHED	0	2024-10-17 13:53:11.892	8.3s	5s	99.1%	6.9 MB	11.2 MB	19.7 MB	13.1 MB
20	12/b60335	13720	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (UHRRep3)	CACHED	0	2024-10-17 13:53:04.512	9.3s	8s	98.9%	6.9 MB	11.2 MB	32.8 MB	22 MB
19	38/2faee7	18068	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (UHRRep1)	CACHED	0	2024-10-17 13:53:16.350	11.8s	9s	99.1%	6.9 MB	11.2 MB	39.9 MB	26.8 MB
21	c0/117dbc	19642	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_INDEX (genome.transcripts.fa)	CACHED	0	2024-10-17 13:53:20.333	45s	41s	403.0%	410.5 MB	1013 MB	1 GB	547.1 MB
22	b8/ca38ba	10020	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (HBRRep3)	CACHED	0	2024-10-17 13:52:56.399	8.1s	6s	99.2%	6.9 MB	11.2 MB	21.4 MB	14.3 MB
23	f3/37ca83	7767	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (HBRRep2)	CACHED	0	2024-10-17 13:52:50.468	7.8s	6s	99.6%	6.7 MB	11.2 MB	23.8 MB	15.9 MB
24	fc/8c2fa3	21721	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (UHRRep2)	CACHED	0	2024-10-17 13:53:28.647	9s	7s	99.0%	6.9 MB	11.2 MB	29.9 MB	20 MB
25	23/cbe014	23514	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (UHRRep3)	CACHED	0	2024-10-17 13:54:05.367	4.5s	2s	271.6%	699.9 MB	986.2 MB	257.9 MB	45.9 KB
26	c1/c28783	23523	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (UHRRep1)	CACHED	0	2024-10-17 13:54:05.375	4.6s	2s	320.1%	717 MB	986.2 MB	262.7 MB	45.6 KB
28	ca/4a707d	24591	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (HBRRep3)	CACHED	0	2024-10-17 13:54:09.828	3.9s	1s	215.8%	648.1 MB	921.2 MB	250.2 MB	45 KB
29	b7/67d1bb	24667	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (HBRRep2)	CACHED	0	2024-10-17 13:54:09.944	4.4s	2s	194.3%	684.8 MB	955.2 MB	251.8 MB	45.6 KB
27	a4/9e14d9	24723	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (HBRRep1)	CACHED	0	2024-10-17 13:54:10.096	4.4s	2s	164.9%	670.4 MB	929.2 MB	249 MB	44.8 KB
30	c4/06d266	23541	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (UHRRep2)	CACHED	0	2024-10-17 13:54:05.383	4.7s	2s	295.6%	709.5 MB	980.2 MB	255.9 MB	45.7 KB
35	d5/dfc901	31597	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (HBRRep1)	CACHED	0	2024-10-17 13:54:39.179	19s	17s	140.5%	2.6 GB	6.5 GB	792.5 MB	258.8 MB
