task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
28	96/c2ea41	14578	NFCORE_SAREK:SAREK:FASTQC (UHRRep3)	CACHED	0	2025-07-22 11:39:41.633	10.5s	6s	234.7%	794.2 MB	7.1 GB	33.9 MB	4.2 MB
19	0e/6ac2c8	13226	NFCORE_SAREK:SAREK:FASTP (HBRRep2)	CACHED	0	2025-07-22 11:39:34.664	3.9s	1s	171.2%	1.3 GB	2.3 GB	27.8 MB	17.1 MB
27	e1/c63978	13859	NFCORE_SAREK:SAREK:FASTP (UHRRep3)	CACHED	0	2025-07-22 11:39:38.292	3.3s	1s	200.9%	1.3 GB	2.3 GB	33.9 MB	23.1 MB
25	90/bec6e8	13951	NFCORE_SAREK:SAREK:FASTP (UHRRep2)	CACHED	0	2025-07-22 11:39:38.609	4.2s	2s	186.1%	1.3 GB	2.3 GB	32 MB	21 MB
23	d8/7d6f0d	18215	NFCORE_SAREK:SAREK:FASTP (UHRRep1)	CACHED	0	2025-07-22 11:39:52.142	3.8s	1s	403.3%	1.3 GB	2.2 GB	38.7 MB	28 MB
21	9a/3f850e	18916	NFCORE_SAREK:SAREK:FASTP (HBRRep3)	CACHED	0	2025-07-22 11:39:55.416	4.9s	2s	192.0%	1.3 GB	2.3 GB	26.2 MB	15.4 MB
26	48/ec4643	14593	NFCORE_SAREK:SAREK:FASTQC (UHRRep2)	CACHED	0	2025-07-22 11:39:41.643	10.4s	6s	243.0%	721 MB	7.1 GB	31.9 MB	4.2 MB
18	1c/5b95a0	14623	NFCORE_SAREK:SAREK:FASTQC (HBRRep1)	CACHED	0	2025-07-22 11:39:41.660	10.3s	6s	216.4%	764.8 MB	7.1 GB	25 MB	4.1 MB
20	94/51c232	14713	NFCORE_SAREK:SAREK:FASTQC (HBRRep2)	CACHED	0	2025-07-22 11:39:42.810	9.5s	5s	230.6%	609.7 MB	7.1 GB	27.8 MB	4.1 MB
17	a0/76a588	13249	NFCORE_SAREK:SAREK:FASTP (HBRRep1)	CACHED	0	2025-07-22 11:39:34.727	3.6s	1s	169.8%	1.3 GB	2.3 GB	25 MB	14.2 MB
22	d2/753a37	14722	NFCORE_SAREK:SAREK:FASTQC (HBRRep3)	CACHED	0	2025-07-22 11:39:42.818	9.3s	5s	230.8%	737 MB	7.1 GB	26.3 MB	4.1 MB
24	74/568bdd	14737	NFCORE_SAREK:SAREK:FASTQC (UHRRep1)	CACHED	0	2025-07-22 11:39:42.826	9.7s	5s	244.2%	762.1 MB	7.1 GB	38.6 MB	4.1 MB
1	87/6df53d	18125	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	2025-07-22 11:39:51.959	3.5s	0ms	47.1%	2.7 MB	11 MB	53.7 KB	9.1 KB
6	4e/afe62e	18117	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	CACHED	0	2025-07-22 11:39:51.950	2.7s	0ms	26.5%	5.5 MB	9.6 MB	118.6 KB	12.1 KB
180	08/deedc9	19054	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	CACHED	0	2025-07-22 11:39:56.020	6.2s	0ms	36.4%	3 MB	4.3 MB	107.6 KB	3.9 KB
187	c2/1d0fdb	19220	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	CACHED	0	2025-07-22 11:39:56.085	10.8s	0ms	19.8%	5.6 MB	9.6 MB	109.1 KB	4.3 KB
183	6f/cb9b58	21151	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	CACHED	0	2025-07-22 11:40:00.409	9.7s	0ms	24.1%	5.6 MB	9.6 MB	107.9 KB	3.8 KB
182	f0/4d27d6	18967	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	CACHED	0	2025-07-22 11:39:55.970	3.3s	0ms	24.5%	5.4 MB	9.6 MB	107.6 KB	3.7 KB
190	54/966dba	19141	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	CACHED	0	2025-07-22 11:39:56.052	10.8s	0ms	23.5%	3.1 MB	4.3 MB	107.5 KB	3.6 KB
181	50/13058a	19110	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	CACHED	0	2025-07-22 11:39:56.041	6s	0ms	35.3%	3 MB	4.3 MB	107.6 KB	3.6 KB
189	dc/18845e	19171	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	CACHED	0	2025-07-22 11:39:56.063	6.6s	0ms	16.1%	5.6 MB	9.6 MB	107.6 KB	3.7 KB
188	11/056151	21013	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	CACHED	0	2025-07-22 11:40:00.361	9.6s	0ms	23.1%	3.1 MB	4.3 MB	107.9 KB	3.8 KB
193	b9/e61b5d	21049	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	CACHED	0	2025-07-22 11:40:00.377	8.8s	0ms	3.6%	5.7 MB	9.6 MB	108.2 KB	3.9 KB
192	23/dc217b	19198	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	CACHED	0	2025-07-22 11:39:56.074	7.7s	0ms	20.9%	5.4 MB	9.6 MB	107.6 KB	3.6 KB
186	18/71e11a	18993	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	CACHED	0	2025-07-22 11:39:55.993	5.5s	1s	5.2%	5.5 MB	9.6 MB	107.5 KB	3.6 KB
191	3f/909d85	19031	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	CACHED	0	2025-07-22 11:39:56.004	3.4s	0ms	38.4%	3.1 MB	4.3 MB	108.1 KB	3.8 KB
185	e7/be5ffc	21079	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	CACHED	0	2025-07-22 11:40:00.387	9.5s	0ms	19.8%	5.6 MB	9.6 MB	107.7 KB	3.7 KB
199	a8/6c9eb4	19248	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrY_9055175-9057608)	CACHED	0	2025-07-22 11:39:56.099	6.4s	0ms	21.1%	5.7 MB	9.6 MB	108.6 KB	3.8 KB
194	cc/a72bce	21004	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	CACHED	0	2025-07-22 11:40:00.352	6.9s	0ms	22.2%	5.5 MB	9.6 MB	107.7 KB	3.7 KB
184	82/388091	18977	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	CACHED	0	2025-07-22 11:39:55.979	4.9s	0ms	27.3%	5.4 MB	9.6 MB	107.7 KB	3.7 KB
195	c7/74deac	20579	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_10001-207666)	CACHED	0	2025-07-22 11:39:59.407	7.7s	0ms	19.7%	3 MB	4.3 MB	107.5 KB	3.5 KB
196	45/894c7c	21110	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_51078349-54425074)	CACHED	0	2025-07-22 11:40:00.395	7.7s	0ms	10.5%	5.4 MB	9.6 MB	107.6 KB	3.6 KB
179	14/2b3d76	19084	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	CACHED	0	2025-07-22 11:39:56.031	5.8s	0ms	15.8%	5.5 MB	9.6 MB	107.6 KB	3.6 KB
197	7c/b91325	20998	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_86252980-111703855)	CACHED	0	2025-07-22 11:40:00.347	6.2s	0ms	15.9%	5.4 MB	9.6 MB	107.9 KB	3.8 KB
198	34/b85da9	20547	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_41229379-41237752)	CACHED	0	2025-07-22 11:39:59.266	7.6s	0ms	45.3%	3 MB	4.3 MB	108.5 KB	4 KB
30	e1/7fd290	4749	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP_SENTIEON:BWAMEM1_MEM (UHRRep3)	CACHED	0	2025-07-22 11:44:40.597	6.3s	3s	348.9%	4.9 GB	5.3 GB	5.3 GB	14 MB
32	ea/9ff389	5771	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP_SENTIEON:BWAMEM1_MEM (UHRRep3)	CACHED	0	2025-07-22 11:44:52.242	6.3s	3s	318.0%	5 GB	5.3 GB	5.3 GB	13.4 MB
42	c7/5a320e	5249	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP_SENTIEON:BWAMEM1_MEM (UHRRep3)	CACHED	0	2025-07-22 11:44:46.930	5.3s	3s	302.9%	4.7 GB	5.3 GB	5.3 GB	13.3 MB
64	f5/f6cb6c	6797	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP_SENTIEON:BWAMEM1_MEM (UHRRep3)	CACHED	0	2025-07-22 11:45:05.228	7.1s	4s	263.9%	5.3 GB	7.1 GB	5.3 GB	13.4 MB
71	f6/903210	8537	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP_SENTIEON:BWAMEM1_MEM (UHRRep3)	CACHED	0	2025-07-22 11:45:26.326	5.5s	3s	314.5%	4.8 GB	5.3 GB	5.3 GB	12.5 MB
68	57/ec6aee	10181	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP_SENTIEON:BWAMEM1_MEM (UHRRep3)	CACHED	0	2025-07-22 11:45:45.489	7.7s	4s	288.8%	5.3 GB	7.1 GB	5.3 GB	13 MB
72	3f/f84ec6	6264	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP_SENTIEON:BWAMEM1_MEM (UHRRep3)	CACHED	0	2025-07-22 11:44:58.584	6.6s	3s	284.7%	4.7 GB	5.3 GB	5.3 GB	12.3 MB
