ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
ENSG00000277248	113	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000283047	749	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000280363	54	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000279973	120	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000226444	1241	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000276871	151	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000283023	774	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000276138	107	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000280341	6114	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000236235	371	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000279442	6179	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000184624	1908	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000236097	577	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000236831	297	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000130538	982	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237299	568	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000235759	2508	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000233408	1294	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000215268	2260	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000213727	1177	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230643	118	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230471	1730	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000231565	1338	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000226474	177	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000224435	1649	1	1	0	0	0.606428138265615	2.57807689771757	1	1	0	0	0.606428138265615	2.57807689771757
ENSG00000234381	822	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000198062	2293	11	10	0.0909090909090909	1	4.79720889664195	20.3941285860004	5	5	0	0	2.18054949847362	9.27005844818202
ENSG00000236666	2566	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000212216	107	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000241838	1123	2	2	0	0	1.78094390026714	7.57123562660067	2	2	0	0	1.78094390026714	7.57123562660067
ENSG00000225255	855	3	2	0.333333333333333	1	3.50877192982456	14.9166624713553	3	2	0.333333333333333	1	3.50877192982456	14.9166624713553
ENSG00000235992	1097	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000206195	5545	203	199	0.0197044334975369	4	36.609558160505	155.636340357126	192	189	0.015625	3	34.6257889990983	147.202844081617
ENSG00000271127	1388	16	16	0	0	11.5273775216138	49.0057499058936	16	16	0	0	11.5273775216138	49.0057499058936
ENSG00000232775	1572	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000272872	694	98	96	0.0204081632653061	2	141.210374639769	600.320436347197	98	96	0.0204081632653061	2	141.210374639769	600.320436347197
ENSG00000271672	622	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000223875	1493	5	5	0	0	3.34896182183523	14.2372699408449	5	5	0	0	3.34896182183523	14.2372699408449
ENSG00000215270	1049	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000229286	121	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000233866	586	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000278188	106	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000225293	604	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000226160	88	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000229658	1612	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000227367	1288	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000280263	1338	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000235969	246	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000273362	661	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000233995	617	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000239435	3389	2	1	0.5	1	0.590144585423429	2.50885146316688	2	1	0.5	1	0.590144585423429	2.50885146316688
ENSG00000198445	2060	1	1	0	0	0.485436893203884	2.06371301181373	1	1	0	0	0.485436893203884	2.06371301181373
ENSG00000240122	397	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000100181	9653	116	111	0.0431034482758621	5	12.0169895369315	51.0872124006017	116	111	0.0431034482758621	5	12.0169895369315	51.0872124006017
ENSG00000283633	3071	16	16	0	0	5.21002930641485	22.1491308594531	12	12	0	0	3.90752197981114	16.6118481445898
ENSG00000267338	546	3	3	0	0	5.49450549450549	23.3585099139356	3	3	0	0	5.49450549450549	23.3585099139356
ENSG00000249288	253	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000249263	317	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000189295	1181	1	1	0	0	0.846740050804403	3.59970262856585	1	1	0	0	0.846740050804403	3.59970262856585
ENSG00000259271	1623	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000273244	875	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000241717	2907	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000235343	1241	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000172967	1690	3	3	0	0	1.77514792899408	7.54659551065611	3	3	0	0	1.77514792899408	7.54659551065611
ENSG00000229027	1381	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000234121	145	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000283535	555	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237835	359	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000220248	3100	1	1	0	0	0.32258064516129	1.37137058204396	1	1	0	0	0.32258064516129	1.37137058204396
ENSG00000237689	500	3	3	0	0	6	25.5074928260176	3	3	0	0	6	25.5074928260176
ENSG00000228122	204	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237358	351	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000225480	102	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230481	354	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000253691	367	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000253460	360	0	0	NA	0	0	0	0	0	NA	0	0	0
